fecha_consulta,partido,liga,hora_partido,cuota_1,casa_1,cuota_X,casa_X,cuota_2,casa_2,cuota_over25,casa_over25,cuota_under25,casa_under25
2026-05-22T09:10:16,San Antonio Spurs vs Oklahoma City Thunder,NBA,19:40,,,,,,,,,,
2026-05-22T09:10:16,Cleveland Cavaliers vs New York Knicks,NBA,19:10,,,,,,,,,,
2026-05-22T09:10:16,Chicago Cubs vs Houston Astros,MLB,13:21,,,,,,,,,,
2026-05-22T09:10:16,Cincinnati Reds vs St. Louis Cardinals,MLB,17:41,,,,,,,,,,
2026-05-22T09:10:16,Philadelphia Phillies vs Cleveland Guardians,MLB,17:41,,,,,,,,,,
2026-05-22T09:10:16,New York Yankees vs Tampa Bay Rays,MLB,18:06,,,,,,,,,,
2026-05-22T09:10:16,Toronto Blue Jays vs Pittsburgh Pirates,MLB,18:08,,,,,,,,,,
2026-05-22T09:10:16,Boston Red Sox vs Minnesota Twins,MLB,18:11,,,,,,,,,,
2026-05-22T09:10:16,Miami Marlins vs New York Mets,MLB,18:11,,,,,,,,,,
2026-05-22T09:10:16,Atlanta Braves vs Washington Nationals,MLB,18:15,,,,,,,,,,
2026-05-22T09:10:16,Baltimore Orioles vs Detroit Tigers,MLB,18:16,,,,,,,,,,
2026-05-22T09:10:16,Kansas City Royals vs Seattle Mariners,MLB,18:41,,,,,,,,,,
2026-05-22T09:10:16,Milwaukee Brewers vs Los Angeles Dodgers,MLB,18:41,,,,,,,,,,
2026-05-22T09:10:16,Los Angeles Angels vs Texas Rangers,MLB,20:39,,,,,,,,,,
2026-05-22T09:10:16,Arizona Diamondbacks vs Colorado Rockies,MLB,20:41,,,,,,,,,,
2026-05-22T09:10:16,San Diego Padres vs Athletics,MLB,20:41,,,,,,,,,,
2026-05-22T09:10:16,San Francisco Giants vs Chicago White Sox,MLB,21:16,,,,,,,,,,
2026-05-22T09:10:16,Colorado Avalanche vs Vegas Golden Knights,NHL,19:00,,,,,,,,,,
2026-05-22T09:10:16,Carolina Hurricanes vs Montréal Canadiens,NHL,18:00,,,,,,,,,,
2026-05-22T09:10:16,Seattle Seahawks vs New England Patriots,NFL,19:15,,,,,,,,,,
2026-05-22T09:10:16,Los Angeles Rams vs San Francisco 49ers,NFL,19:35,,,,,,,,,,
2026-05-22T09:10:16,Pittsburgh Steelers vs Atlanta Falcons,NFL,12:00,,,,,,,,,,
2026-05-22T09:10:16,Indianapolis Colts vs Baltimore Ravens,NFL,12:00,,,,,,,,,,
2026-05-22T09:10:16,Houston Texans vs Buffalo Bills,NFL,12:00,,,,,,,,,,
2026-05-22T09:10:16,Carolina Panthers vs Chicago Bears,NFL,12:00,,,,,,,,,,
2026-05-22T09:10:16,Cincinnati Bengals vs Tampa Bay Buccaneers,NFL,12:00,,,,,,,,,,
2026-05-22T09:10:16,Jacksonville Jaguars vs Cleveland Browns,NFL,12:00,,,,,,,,,,
2026-05-22T09:10:16,Detroit Lions vs New Orleans Saints,NFL,12:00,,,,,,,,,,
2026-05-22T09:10:16,Tennessee Titans vs New York Jets,NFL,12:00,,,,,,,,,,
2026-05-22T09:10:16,Los Angeles Chargers vs Arizona Cardinals,NFL,15:25,,,,,,,,,,
2026-05-22T09:10:16,Minnesota Vikings vs Green Bay Packers,NFL,15:25,,,,,,,,,,
2026-05-22T09:10:16,Las Vegas Raiders vs Miami Dolphins,NFL,15:25,,,,,,,,,,
2026-05-22T09:10:16,Philadelphia Eagles vs Washington Commanders,NFL,15:25,,,,,,,,,,
2026-05-22T09:10:16,New York Giants vs Dallas Cowboys,NFL,19:20,,,,,,,,,,
2026-05-22T09:10:16,Kansas City Chiefs vs Denver Broncos,NFL,19:15,,,,,,,,,,
2026-05-22T09:10:16,Orlando Storm vs DC Defenders,UFL,19:00,,,,,,,,,,
2026-05-22T09:12:47,San Antonio Spurs vs Oklahoma City Thunder,NBA,19:40,,,,,,,,,,
2026-05-22T09:12:47,Cleveland Cavaliers vs New York Knicks,NBA,19:10,,,,,,,,,,
2026-05-22T09:12:47,Chicago Cubs vs Houston Astros,MLB,13:21,,,,,,,,,,
2026-05-22T09:12:47,Cincinnati Reds vs St. Louis Cardinals,MLB,17:41,,,,,,,,,,
2026-05-22T09:12:47,Philadelphia Phillies vs Cleveland Guardians,MLB,17:41,,,,,,,,,,
2026-05-22T09:12:47,New York Yankees vs Tampa Bay Rays,MLB,18:06,,,,,,,,,,
2026-05-22T09:12:47,Toronto Blue Jays vs Pittsburgh Pirates,MLB,18:08,,,,,,,,,,
2026-05-22T09:12:47,Boston Red Sox vs Minnesota Twins,MLB,18:11,,,,,,,,,,
2026-05-22T09:12:47,Miami Marlins vs New York Mets,MLB,18:11,,,,,,,,,,
2026-05-22T09:12:47,Atlanta Braves vs Washington Nationals,MLB,18:15,,,,,,,,,,
2026-05-22T09:12:47,Baltimore Orioles vs Detroit Tigers,MLB,18:16,,,,,,,,,,
2026-05-22T09:12:47,Kansas City Royals vs Seattle Mariners,MLB,18:41,,,,,,,,,,
2026-05-22T09:12:47,Milwaukee Brewers vs Los Angeles Dodgers,MLB,18:41,,,,,,,,,,
2026-05-22T09:12:47,Los Angeles Angels vs Texas Rangers,MLB,20:39,,,,,,,,,,
2026-05-22T09:12:47,Arizona Diamondbacks vs Colorado Rockies,MLB,20:41,,,,,,,,,,
2026-05-22T09:12:47,San Diego Padres vs Athletics,MLB,20:41,,,,,,,,,,
2026-05-22T09:12:47,San Francisco Giants vs Chicago White Sox,MLB,21:16,,,,,,,,,,
2026-05-22T09:12:47,Colorado Avalanche vs Vegas Golden Knights,NHL,19:00,,,,,,,,,,
2026-05-22T09:12:47,Carolina Hurricanes vs Montréal Canadiens,NHL,18:00,,,,,,,,,,
2026-05-22T09:12:47,Seattle Seahawks vs New England Patriots,NFL,19:15,,,,,,,,,,
2026-05-22T09:12:47,Los Angeles Rams vs San Francisco 49ers,NFL,19:35,,,,,,,,,,
2026-05-22T09:12:47,Pittsburgh Steelers vs Atlanta Falcons,NFL,12:00,,,,,,,,,,
2026-05-22T09:12:47,Indianapolis Colts vs Baltimore Ravens,NFL,12:00,,,,,,,,,,
2026-05-22T09:12:47,Houston Texans vs Buffalo Bills,NFL,12:00,,,,,,,,,,
2026-05-22T09:12:47,Carolina Panthers vs Chicago Bears,NFL,12:00,,,,,,,,,,
2026-05-22T09:12:47,Cincinnati Bengals vs Tampa Bay Buccaneers,NFL,12:00,,,,,,,,,,
2026-05-22T09:12:47,Jacksonville Jaguars vs Cleveland Browns,NFL,12:00,,,,,,,,,,
2026-05-22T09:12:47,Detroit Lions vs New Orleans Saints,NFL,12:00,,,,,,,,,,
2026-05-22T09:12:47,Tennessee Titans vs New York Jets,NFL,12:00,,,,,,,,,,
2026-05-22T09:12:47,Los Angeles Chargers vs Arizona Cardinals,NFL,15:25,,,,,,,,,,
2026-05-22T09:12:47,Minnesota Vikings vs Green Bay Packers,NFL,15:25,,,,,,,,,,
2026-05-22T09:12:47,Las Vegas Raiders vs Miami Dolphins,NFL,15:25,,,,,,,,,,
2026-05-22T09:12:47,Philadelphia Eagles vs Washington Commanders,NFL,15:25,,,,,,,,,,
2026-05-22T09:12:47,New York Giants vs Dallas Cowboys,NFL,19:20,,,,,,,,,,
2026-05-22T09:12:47,Kansas City Chiefs vs Denver Broncos,NFL,19:15,,,,,,,,,,
2026-05-22T09:12:47,Orlando Storm vs DC Defenders,UFL,19:00,,,,,,,,,,
2026-05-22T09:14:49,San Antonio Spurs vs Oklahoma City Thunder,NBA,19:40,,,,,,,,,,
2026-05-22T09:14:49,Cleveland Cavaliers vs New York Knicks,NBA,19:10,,,,,,,,,,
2026-05-22T09:14:49,Chicago Cubs vs Houston Astros,MLB,13:21,,,,,,,,,,
2026-05-22T09:14:49,Cincinnati Reds vs St. Louis Cardinals,MLB,17:41,,,,,,,,,,
2026-05-22T09:14:49,Philadelphia Phillies vs Cleveland Guardians,MLB,17:41,,,,,,,,,,
2026-05-22T09:14:49,New York Yankees vs Tampa Bay Rays,MLB,18:06,,,,,,,,,,
2026-05-22T09:14:49,Toronto Blue Jays vs Pittsburgh Pirates,MLB,18:08,,,,,,,,,,
2026-05-22T09:14:49,Boston Red Sox vs Minnesota Twins,MLB,18:11,,,,,,,,,,
2026-05-22T09:14:49,Miami Marlins vs New York Mets,MLB,18:11,,,,,,,,,,
2026-05-22T09:14:49,Atlanta Braves vs Washington Nationals,MLB,18:15,,,,,,,,,,
2026-05-22T09:14:49,Baltimore Orioles vs Detroit Tigers,MLB,18:16,,,,,,,,,,
2026-05-22T09:14:49,Kansas City Royals vs Seattle Mariners,MLB,18:41,,,,,,,,,,
2026-05-22T09:14:49,Milwaukee Brewers vs Los Angeles Dodgers,MLB,18:41,,,,,,,,,,
2026-05-22T09:14:49,Los Angeles Angels vs Texas Rangers,MLB,20:39,,,,,,,,,,
2026-05-22T09:14:49,Arizona Diamondbacks vs Colorado Rockies,MLB,20:41,,,,,,,,,,
2026-05-22T09:14:49,San Diego Padres vs Athletics,MLB,20:41,,,,,,,,,,
2026-05-22T09:14:49,San Francisco Giants vs Chicago White Sox,MLB,21:16,,,,,,,,,,
2026-05-22T09:14:49,Colorado Avalanche vs Vegas Golden Knights,NHL,19:00,,,,,,,,,,
2026-05-22T09:14:49,Carolina Hurricanes vs Montréal Canadiens,NHL,18:00,,,,,,,,,,
2026-05-22T09:14:49,Seattle Seahawks vs New England Patriots,NFL,19:15,,,,,,,,,,
2026-05-22T09:14:49,Los Angeles Rams vs San Francisco 49ers,NFL,19:35,,,,,,,,,,
2026-05-22T09:14:49,Pittsburgh Steelers vs Atlanta Falcons,NFL,12:00,,,,,,,,,,
2026-05-22T09:14:49,Indianapolis Colts vs Baltimore Ravens,NFL,12:00,,,,,,,,,,
2026-05-22T09:14:49,Houston Texans vs Buffalo Bills,NFL,12:00,,,,,,,,,,
2026-05-22T09:14:49,Carolina Panthers vs Chicago Bears,NFL,12:00,,,,,,,,,,
2026-05-22T09:14:49,Cincinnati Bengals vs Tampa Bay Buccaneers,NFL,12:00,,,,,,,,,,
2026-05-22T09:14:49,Jacksonville Jaguars vs Cleveland Browns,NFL,12:00,,,,,,,,,,
2026-05-22T09:14:49,Detroit Lions vs New Orleans Saints,NFL,12:00,,,,,,,,,,
